Município,Campo,ChatGPT,Gemini,Grok,Mais provável
Balneário Camboriú,,,,,
Balneário Camboriú,Local,"Secretaria Municipal de Obras (Manutenção urbana, drenagem)",Secretaria de Obras,Secretaria de Obras,Secretaria de Obras
Balneário Camboriú,Responsavel,"Cristiano José dos Santos ? Secretário de Obraspagina3.com.br
Toni Fausto ? Diretor de Serviços Urbanos (47 99957-0513)bc.sc.gov.br","Diretoria de Obras, Departamento de Drenagem",Responsável por drenagem pluvial,"Cristiano José dos Santos ? Secretário de Obraspagina3.com.br
Toni Fausto ? Diretor de Serviços Urbanos (47 99957-0513)bc.sc.gov.br"
Balneário Camboriú,Endereco,"Av. Santa Catarina, nº 801 ? Bairro dos Estadosbc.sc.gov.br
Tel: (47) 3267-7031bc.sc.gov.br
Wh/WhatsApp: (47) 99982-2139 (Obras)","Rua 2.850, nº 475, Centro, Balneário Camboriú - SC","Avenida Santa Catarina, nº 801, Bairro dos Estados","Av. Santa Catarina, nº 801 ? Bairro dos Estadosbc.sc.gov.br
Tel: (47) 3267-7031bc.sc.gov.br
Wh/WhatsApp: (47) 99982-2139 (Obras)"
Balneário Camboriú,Contato,,Fone: (47) 3267-7031 / (47) 3363-2940,(47) 3363-2930; obras@bc.sc.gov.br,Fone: (47) 3267-7031 / (47) 3363-2940
Balneário Camboriú,Horario,"seg.?sex., 8h?12h / 13h?17h",12h às 18h,"Seg-Sex, 12h-17h","seg.?sex., 8h?12h / 13h?17h"
,,,,,
Balneário Piçarras,,,,,
Balneário Piçarras,Local,Secretaria Municipal de Obras (SMO),Secretaria de Obras,Secretaria Municipal de Obras (SMO),Secretaria Municipal de Obras (SMO)
Balneário Piçarras,Responsavel,(não disponível),Departamento de Engenharia,Peça a Diretoria de Obras,Departamento de Engenharia
Balneário Piçarras,Endereco,"Rua 5300 ? Antônio João Batista, s/n ? Centrobalneariopicarras.atende.net
(Tel. não divulgado)","Av. Emanoel Pinto, 1655, Centro, Balneário Piçarras - SC","Rua 5300 - Antônio João Batista, s/n, Centro, 88380-000","Rua 5300 ? Antônio João Batista, s/n ? Centrobalneariopicarras.atende.net
(Tel. não divulgado)"
Balneário Piçarras,Contato,,Fone: (47) 3347-2300 (ramal Obras),(47) 3347-4747; Não disponível,Fone: (47) 3347-2300 (ramal Obras)
Balneário Piçarras,Horario,"seg.?sex., 8h?12h / 13h30?17h30",08h às 12h e 13h30 às 17h30,"Seg-Sex, 8h-12h, 13h30-17h30","seg.?sex., 8h?12h / 13h30?17h30"
,,,,,
Bombinhas,,,,,
Bombinhas,Local,Secretaria de Infraestrutura Urbana (Obras),Secretaria de Planejamento e Urbanismo,Secretaria de Infraestrutura Urbana (SMIU),Secretaria de Infraestrutura Urbana (Obras)
