Município,Campo,ChatGPT,Gemini,Grok,Mais provável
Balneário Camboriú,,,,,
Balneário Camboriú,Local,Secretaria de Meio Ambiente e Desenvolvimento Econômico,Secretaria do Meio Ambiente (SEMAM),Secretaria do Meio Ambiente (SEMAM),Secretaria do Meio Ambiente (SEMAM)
Balneário Camboriú,Responsavel,Nelson Oliveira ? Secretário de Meio Ambientebc.sc.gov.br (novo),"Diretoria de Gestão Ambiental, Fiscalização",Contatar Nelson Oliveira ou equipe técnica (Maria Heloísa Lenzi ou Eduarda Montibeller Schuch),Contatar Nelson Oliveira ou equipe técnica (Maria Heloísa Lenzi ou Eduarda Montibeller Schuch)
Balneário Camboriú,Endereco,"Rua 6ª Avenida, s/n (Parque Natural Raimundo Malta)bc.sc.gov.br
WhatsApp: (47) 99982-2272bc.sc.gov.br
(sem e-mail publicado)","Rua 2.850, nº 475, Centro, Balneário Camboriú - SC","Anexo ao Parque Raimundo Malta, final da Rua Angelina, Bairro dos Municípios","Rua 6ª Avenida, s/n (Parque Natural Raimundo Malta)bc.sc.gov.br
WhatsApp: (47) 99982-2272bc.sc.gov.br
(sem e-mail publicado)"
Balneário Camboriú,Contato,,Fone: (47) 3267-7080,(47) 3363-7145 / 3363-7148; Não disponível,(47) 3363-7145 / 3363-7148; Não disponível
Balneário Camboriú,Horario,"seg.?sex., 8h?12h / 13h?17h",12h às 18h,"Seg-Sex, 13h-19h","seg.?sex., 8h?12h / 13h?17h"
,,,,,
Balneário Piçarras,,,,,
Balneário Piçarras,Local,Instituto do Meio Ambiente (IMP),Secretaria de Planejamento Urbano,Secretaria Municipal de Obras (SMO),Secretaria Municipal de Obras (SMO)
Balneário Piçarras,Responsavel,Rafael Alt Santos de Chaves ? Presidente Interinodiariomunicipal.sc.gov.br,Departamento de Meio Ambiente,Peça a Diretoria de Limpeza Urbana,Rafael Alt Santos de Chaves ? Presidente Interinodiariomunicipal.sc.gov.br
Balneário Piçarras,Endereco,"Rua Eulálio da Trindade, nº 76 ? Centro ? Balneário Piçarrasdiariomunicipal.sc.gov.br
Tel: (47) 3345-3511diariomunicipal.sc.gov.br
E-mail: meioambiente@picarras.sc.gov.brdiariomunicipal.sc.gov.br (fundação anterior)","Av. Emanoel Pinto, 1655, Centro, Balneário Piçarras - SC","Rua 5300 - Antônio João Batista, s/n, Centro, 88380-000","Rua Eulálio da Trindade, nº 76 ? Centro ? Balneário Piçarrasdiariomunicipal.sc.gov.br
Tel: (47) 3345-3511diariomunicipal.sc.gov.br
E-mail: meioambiente@picarras.sc.gov.brdiariomunicipal.sc.gov.br (fundação anterior)"
Balneário Piçarras,Contato,,Fone: (47) 3347-2300 (ramal Meio Ambiente),(47) 3347-4747; Não disponível,Fone: (47) 3347-2300 (ramal Meio Ambiente)
Balneário Piçarras,Horario,"seg.?sex., 8h?12h / 13h30?17h30",08h às 12h e 13h30 às 17h30,"Seg-Sex, 8h-12h, 13h30-17h30","seg.?sex., 8h?12h / 13h30?17h30"
,,,,,
Bombinhas,,,,,
Bombinhas,Local,Secretaria de Infraestrutura Urbana (Obras) (limpeza urbana),FAMAB - Fundação de Amparo ao Meio Ambiente,Fundação de Amparo ao Meio Ambiente (FAMAB),Secretaria de Infraestrutura Urbana (Obras) (limpeza urbana)
Bombinhas,Responsavel,André Luiz da Silva ? Secretário de Infraestruturabombinhas.sc.gov.br,Diretoria de Gestão Ambiental,Contatar Flávio Steigleder Martins,André Luiz da Silva ? Secretário de Infraestruturabombinhas.sc.gov.br
Bombinhas,Endereco,"Av. Baleia Jubarte, 328 ? José Amândiobombinhas.sc.gov.br
Tel: (47) 3369-1165bombinhas.sc.gov.br
E-mail: obras@bombinhas.sc.gov.brbombinhas.sc.gov.br","Av. Falcão, nº 828, Bombas, Bombinhas - SC","Rua Baleia Jubarte, 328, José Amândio, 88215-000","Av. Baleia Jubarte, 328 ? José Amândiobombinhas.sc.gov.br
Tel: (47) 3369-1165bombinhas.sc.gov.br
E-mail: obras@bombinhas.sc.gov.brbombinhas.sc.gov.br"
Bombinhas,Contato,,Fone: (47) 3393-9500 (ramal 9535),(47) 3393-9517; famab@bombinhas.sc.gov.br,(47) 3393-9517; famab@bombinhas.sc.gov.br
